"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "TypeScript", "Properties", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\lk-router.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\service\mail-service.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\service\token-service.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\service\user-service.js", "JavaScript", 68, 0, 0, 0, 0, 0, 1, 13, 82
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\auth.ejs", "HTML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\contact.ejs", "HTML", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\footer.ejs", "HTML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\header.ejs", "HTML", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\lk.ejs", "HTML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\dashboard_nav.ejs", "HTML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_main.ejs", "HTML", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\profile.ejs", "HTML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team.ejs", "HTML", 0, 0, 36, 0, 0, 0, 0, 3, 39
